hour_of_the_day,day_of_the_week,client_user,client_host,client_ip,client_program,service_name
11.828055555555554,1,jps001,__jdbc__,188.184.140.90,JDBC Thin Client,devdb11_s.cern.ch
11.828055555555554,1,oracle,itrac50096.cern.ch,10.16.8.137,sqlplus,int8r.cern.ch
4.386111111111112,1,inforops,__jdbc__,137.138.161.94,JDBC Thin Client,EDMSTST
4.398055555555556,1,,,,,EDMSTST
4.405833333333334,1,,,,,ZORATST
4.418611111111112,1,oracle,itrac1328.cern.ch,,,
4.4141666666666675,1,wls,__jdbc__,137.138.161.35,APEX Listener,EDMSTST
4.403611111111111,1,oracle,itrac50096.cern.ch,10.16.8.137,perl,SUSITST
4.417222222222223,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\kernel\exe\Evolynx-serveur.exe,SUSITST
11.826944444444445,1,oracle,itrac1301.cern.ch,,,
4.394444444444445,1,flume,__jdbc__,10.16.6.145,JDBC Thin Client,C
4.401944444444445,1,oracle,itrac1328.cern.ch,,,
4.414722222222222,1,oracle,__jdbc__,10.16.6.228,JDBC Thin Client,SUSITST
11.8275,1,,,,,INT2R1
4.379166666666666,1,,,,,ZORATST
4.389722222222223,1,,,,,EDMSTST
11.828055555555554,1,jps001,__jdbc__,188.184.140.90,JDBC Thin Client,devdb11_s.cern.ch
11.82861111111111,1,,,,,INTR1
4.386111111111112,1,inforops,__jdbc__,137.138.161.94,JDBC Thin Client,EDMSTST
4.398333333333333,1,wls,__jdbc__,137.138.161.109,APEX Listener,EDMSTST
4.411388888888889,1,zabbix,ssm.cern.ch,172.26.104.244,sqlplus,SUSITST.cern.ch
4.403888888888889,1,oracle,itrac50096.cern.ch,10.16.8.137,perl,ZORATST
4.404722222222222,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
11.826944444444445,1,,,,,ACCINT1
4.395277777777778,1,oracle,itrac50096.cern.ch,10.16.8.137,perl,ZORATST
4.407500000000001,1,oracle,itrac50096.cern.ch,10.16.8.137,perl,EDMSTST
4.418611111111112,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
11.829166666666666,1,sysctl,db-51220.cern.ch,137.138.161.92,perl,devdb11_s.cern.ch
11.830277777777777,1,oracle,itrac1310.cern.ch,,,
4.386666666666667,1,,,,,ZORATST
4.400555555555556,1,wls,__jdbc__,188.185.79.71,APEX Listener,EDMSTST
4.403611111111111,1,zabbix,ssm.cern.ch,172.26.104.244,sqlplus,ZORATST
4.4158333333333335,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
11.826666666666666,1,,,,,ACCINT2
4.385000000000001,1,SYSTEM,YSCCP-00008,172.18.161.29,C:\Program?Files\Evolynx\Kernel\exe\Evolynx-Frontal.exe,SUSITST
4.395833333333334,1,,,,,ZORATST
4.408888888888889,1,,,,,EDMSTST
4.419444444444445,1,inforops,__jdbc__,137.138.161.94,JDBC Thin Client,EDMSTST
